name,sigla,state
Centro Universitario Ideau,Unideau,Rs
Centro Universitario Imepac - Araguari,Null,Mg
Centro Universitario Inga,Uninga,Pr
Centro Universitario Inta,Uninta,Ce
Centro Universitario Integrado De Campo Mourao,Null,Pr
Centro Universitario Internacional,Uninter,Pr
Centro Universitario Internacional Signorelli,Unisignorelli,Rj
Centro Universitario Italo-Brasileiro,Uniitalo,Sp
Centro Universitario Itop,Unitop,To
Centro Universitario Joaquim Nabuco De Recife,Uninabuco Recife,Pe
Centro Universitario Jorge Amado,Unijorge,Ba
Centro Universitario La Salle,Unilasalle - Lucas,Mt
Centro Universitario La Salle Do Rio De Janeiro,Unilasalle/Rj,Rj
Centro Universitario Leonardo Da Vinci,Uniasselvi,Sc
Centro Universitario Ls,Unils,Df
Centro Universitario Lusiada,Unilus,Sp
Centro Universitario Luterano De Jiparana,Ceulji/Ulbra,Ro
Centro Universitario Luterano De Manaus,Ceulm/Ulbra,Am
Centro Universitario Luterano De Palmas,Ceulp,To
Centro Universitario Luterano De Santarem,Ceuls,Pa
Centro Universitario Maria Milza,Unimam,Ba
Centro Universitario Mario Palmerio,Unifucamp,Mg
Centro Universitario Mario Pontes Juca,Umj,Al
Centro Universitario Mater Dei,Null,Pr
Centro Universitario Maua De Brasilia,Unimaua,Df
Centro Universitario Mauricio De Nassau,Uninassau,Pe
Centro Universitario Mauricio De Nassau De Aracaju,Null,Se
Centro Universitario Mauricio De Nassau De Barreiras,Uninassau,Ba
Centro Universitario Mauricio De Nassau De Belem,Null,Pa
Centro Universitario Mauricio De Nassau De Cacoal,Uninassau,Ro
Centro Universitario Mauricio De Nassau De Campina Grande,Uninassau Cpv,Pb
Centro Universitario Mauricio De Nassau De Caruaru,Uninassau Caruaru,Pe
Centro Universitario Mauricio De Nassau De Fortaleza,Uninassau Fortaleza,Ce
Centro Universitario Mauricio De Nassau De Joao Pessoa,Null,Pb
Centro Universitario Mauricio De Nassau De Juazeiro Do Norte,Uninassau,Ce
Centro Universitario Mauricio De Nassau De Maceio,Uninassaumacei?,Al
Centro Universitario Mauricio De Nassau De Natal,Uninassau,Rn
Centro Universitario Mauricio De Nassau De Salvador,Uninassau Salvador,Ba
Centro Universitario Mauricio De Nassau De Sao Luis,Uninassau,Ma
Centro Universitario Mauricio De Nassau De Teresina,Null,Pi
Centro Universitario Mauricio De Nassau Do Rio De Janeiro,Uninassau,Rj
Centro Universitario Mauricio De Nassau Paulista,Uninassau Paulista,Pe
Centro Universitario Mauricio De Uninassau De Parnaiba,Uninassau Parnaiba,Pi
Centro Universitario Max Planck,Unimax,Sp
Centro Universitario Metodista,Ipa,Rs
Centro Universitario Metodista Izabela Hendrix,Ceunih,Mg
Centro Universitario Metrocamp Wyden,Unimetrocamp Wyden,Sp
Centro Universitario Metropolitano Da Amazonia,Unifamaz,Pa
Centro Universitario Metropolitano De Maringa,Unifamma,Pr
Centro Universitario Metropolitano De Sao Paulo,Unimesp,Sp
Centro Universitario Moacyr Sreder Bastos,Unimsb,Rj
Centro Universitario Modulo,Modulo,Sp
Centro Universitario Monte Serrat,Unimonte,Sp
Centro Universitario Moura Lacerda,Cuml,Sp
Centro Universitario Multivix Vitoria,Null,Es
Centro Universitario Municipal De Franca,Uni-Facef,Sp
Centro Universitario Municipal De Sao Jose,Usj,Sc
Centro Universitario Natalense,Uniceuna,Rn
Centro Universitario Newton Paiva,Newton Paiva,Mg
Centro Universitario Nilton Lins,Uniniltonlins,Am
